id,filmtitle,year,cast1,cast2,cast3,crew1,crew2,crew3,genre,foreign,corporation
57,The Blue Dahlia,1946,Alan Ladd,Veronica Lake,William Bendix,George Marshall,Raymond Chandler,Lionel Lindon,Drama,false,Lionsgate
58,Snow Cake,2006,Alan Rickman,Sigourney Weaver,Carrie-Anne Moss,Marc Evans,Angela Pell,Broken Social Scene,Romance,false,Pixar
59,Casino Raiders,1989,Alan Tam,Andy Lau,Ida Chan,Jimmy Heung,Corey Yuen Kwai,Jimmy Heung,Thriller,true,Marvel Studios
60,The Belles of St. Trinian's,1954,Alastair Sim,Alastair Sim,George Cole,Frank Launder,Frank Launder,Frank Launder,Foreign,true,Lionsgate
61,Scrooge,1951,Alastair Sim,Kathleen Harrison,Mervyn Johns,Charles Dickens,Noel Langley,Brian Desmond Hurst,Fantasy,false,Lionsgate
62,Innocents in Paris,1953,Alastair Sim,Ronald Shiner,Claire Bloom,Gordon Parry,Anatole de Grunwald,Anatole de Grunwald,Other,false,Lionsgate
63,Mother,1996,Albert Brooks,Debbie Reynolds,Rob Morrow,Herb Nanas,Scott Rudin,Marc Shaiman,Comedy,false,Lionsgate
64,Gammera the Invincible,1966,Albert Dekker,Brian Donlevy,Diane Findlay,Noriaki Yuasa,Richard Kraft,Nisan Takahashi,ScienceFiction,true,Pixar
65,The Browning Version,1994,Albert Finney,Greta Scacchi,Matthew Modine,Mike Figgis,Terence Rattigan,Ronald Harwood,Foreign,true,20th Century Fox
66,Night Must Fall,1964,Albert Finney,Mona Washbourne,Susan Hampshire,Karel Reisz,Emlyn Williams,Clive Exton,Thriller,false,Lionsgate
67,Il mostro di Firenze,1986,Alberto Di Stasio,Leonard Mann,Leonard Mann,Cesare Ferrario,Fulvio Ricciardi,Cesare Ferrario,Thriller,true,Marvel Studios
68,Catherine and I,1980,Alberto Sordi,Catherine Spaak,Valeria Valeri,Alberto Sordi,Alberto Sordi,Rodolfo Sonego,Comedy,true,20th Century Fox
69,Buonanotte... avvocato!,1955,Alberto Sordi,Giulietta Masina,Mara Berni,Giorgio Bianchi,Giovanni Grimaldi,Ruggero Maccari,Other,true,Lionsgate
70,Il medico della mutua,1968,Alberto Sordi,Sara Franchetti,Nanda Primavera,Luigi Zampa,Luigi Zampa,Sergio Amidei,Comedy,true,Lionsgate
71,The Moralist,1959,Alberto Sordi,Vittorio De Sica,Maria Perschy,Giorgio Bianchi,Oreste Biancoli,Luciana Corda,Comedy,true,Pixar
72,The Getaway,1994,Alec Baldwin,Kim Basinger,Michael Madsen,Roger Donaldson,Jim Thompson,Walter Hill,Thriller,false,20th Century Fox
73,The Scapegoat,1959,Alec Guinness,Bette Davis,Nicole Maurey,Robert Hamer,Daphne Du Maurier,Robert Hamer,Thriller,false,Marvel Studios
74,The Card,1952,Alec Guinness,Glynis Johns,Valerie Hobson,Ronald Neame,Arnold Bennett,Eric Ambler,Romance,false,Pixar
